"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4895","Successful login with valid credentials (standard_user)","firefox","2026-04-28","passed","2026-04-28","Login Page Module","tests\features\login.feature.spec.js","",""
"","1939","Successful login with valid credentials (standard_user)","chromium","2026-04-28","passed","2026-04-28","Login Page Module","tests\features\login.feature.spec.js","",""
